Year,LocationAbbr,LocationDesc,Have_HC_coverage,Type,HS,Region
2020,AR,Arkansas,164302,Hearing,68.1,South
2020,CA,California,1470075,Hearing,66.6,West
2020,CO,Colorado,180327,Hearing,57.9,West
2020,CT,Connecticut,141388,Hearing,55.7,Northeast
2020,DE,Delaware,41119,Hearing,60.2,Northeast
2020,DC,District of Columbia,16906,Hearing,55.9,Northeast
2020,FL,Florida,969378,Hearing,61.8,South
2020,GA,Georgia,390612,Hearing,62.3,South
2020,HI,Hawaii,59806,Hearing,60.5,West
2020,ID,Idaho,109577,Hearing,73.1,West
2020,IL,Illinois,645200,Hearing,67.4,Midwest
2020,IN,Indiana,312346,Hearing,64.7,Midwest
2020,IA,Iowa,144258,Hearing,69.5,Midwest
2020,KS,Kansas,138367,Hearing,71.8,Midwest
2020,KY,Kentucky,326908,Hearing,73.1,South
2020,LA,Louisiana,256590,Hearing,59.2,South
2020,ME,Maine,89566,Hearing,72.6,Northeast
2020,MD,Maryland,189994,Hearing,55.1,Northeast
2020,MA,Massachusetts,271250,Hearing,54.1,Northeast
2020,MI,Michigan,433085,Hearing,74.8,Midwest
2020,MN,Minnesota,235947,Hearing,66.6,Midwest
2020,MS,Mississippi,175712,Hearing,67,South
2020,MO,Missouri,366309,Hearing,68.9,South
2020,MT,Montana,78769,Hearing,70.9,West
2020,NE,Nebraska,90270,Hearing,63.7,Midwest
2020,NV,Nevada,142121,Hearing,77.2,West
2020,NH,New Hampshire,62682,Hearing,63.9,Northeast
2020,NJ,New Jersey,273666,Hearing,44,Northeast
2020,NM,New Mexico,112017,Hearing,60.4,West
2020,NY,New York,637989,Hearing,66.8,Northeast
2020,NC,North Carolina,583304,Hearing,65.3,South
2020,ND,North Dakota,47926,Hearing,67.5,Midwest
2020,OH,Ohio,536131,Hearing,66.2,Midwest
2020,OK,Oklahoma,258487,Hearing,60.8,South
2020,OR,Oregon,237779,Hearing,61.8,West
2020,PA,Pennsylvania,669000,Hearing,70.2,Northeast
2020,RI,Rhode Island,46669,Hearing,51,Northeast
2020,SC,South Carolina,283700,Hearing,61,South
2020,SD,South Dakota,48448,Hearing,67.9,Midwest
2020,TN,Tennessee,364397,Hearing,64.8,South
2020,TX,Texas,1085864,Hearing,62.6,South
2020,UT,Utah,114057,Hearing,65.9,West
2020,VT,Vermont,31964,Hearing,67.1,Northeast
2020,VA,Virginia,304939,Hearing,54.4,South
2020,WA,Washington,323200,Hearing,65.4,West
2020,WV,West Virginia,124295,Hearing,64.9,South
2020,WI,Wisconsin,213788,Hearing,66.2,Midwest
2020,WY,Wyoming,37702,Hearing,70.8,West
2020,AL,Alabama,424853,Cognitive,60.5,South
2020,AK,Alaska,34241,Cognitive,68.9,West
2020,AZ,Arizona,425447,Cognitive,64.4,West
2020,AR,Arkansas,265320,Cognitive,69.1,South
2020,CA,California,2420357,Cognitive,56.2,West
2020,CO,Colorado,295169,Cognitive,66,West
2020,CT,Connecticut,214472,Cognitive,57.5,Northeast
2020,DE,Delaware,64405,Cognitive,72.2,Northeast
2020,DC,District of Columbia,54615,Cognitive,57.4,Northeast
2020,FL,Florida,1370557,Cognitive,63.9,South
2020,GA,Georgia,656145,Cognitive,66.7,South
2020,HI,Hawaii,69508,Cognitive,67.2,West
2020,ID,Idaho,129940,Cognitive,76.1,West
2020,IL,Illinois,688137,Cognitive,62.9,Midwest
2020,IN,Indiana,470492,Cognitive,63.7,Midwest
2020,IA,Iowa,204101,Cognitive,70.4,Midwest
2020,KS,Kansas,194911,Cognitive,63.7,Midwest
2020,KY,Kentucky,475856,Cognitive,69.1,South
2020,LA,Louisiana,453241,Cognitive,56.4,South
2020,ME,Maine,109266,Cognitive,67.1,Northeast
2020,MD,Maryland,309153,Cognitive,60.6,Northeast
2020,MA,Massachusetts,469788,Cognitive,59.8,Northeast
2020,MI,Michigan,861637,Cognitive,66.2,Midwest
2020,MN,Minnesota,323363,Cognitive,65.9,Midwest
2020,MS,Mississippi,258332,Cognitive,64.6,South
2020,MO,Missouri,495356,Cognitive,67.2,South
2020,MT,Montana,76694,Cognitive,68.2,West
2020,NE,Nebraska,93558,Cognitive,71,Midwest
2020,NV,Nevada,228043,Cognitive,69.9,West
2020,NH,New Hampshire,83169,Cognitive,68.1,Northeast
2020,NJ,New Jersey,444832,Cognitive,57.6,Northeast
2020,NM,New Mexico,156899,Cognitive,56.6,West
2020,NY,New York,1134284,Cognitive,58.4,Northeast
2020,NC,North Carolina,733959,Cognitive,65.9,South
2020,ND,North Dakota,49294,Cognitive,76.3,Midwest
2020,OH,Ohio,831563,Cognitive,65.8,Midwest
2020,OK,Oklahoma,301089,Cognitive,69.5,South
2020,OR,Oregon,331581,Cognitive,67.9,West
2020,PA,Pennsylvania,960795,Cognitive,64.8,Northeast
2020,RI,Rhode Island,76717,Cognitive,60.3,Northeast
2020,SC,South Carolina,481152,Cognitive,68.4,South
2020,SD,South Dakota,43201,Cognitive,73.4,Midwest
2020,TN,Tennessee,517503,Cognitive,68,South
2020,TX,Texas,1480865,Cognitive,63.1,South
2020,UT,Utah,202145,Cognitive,68.6,West
2020,VT,Vermont,38786,Cognitive,68.8,Northeast
2020,VA,Virginia,504231,Cognitive,61.1,South
2020,WA,Washington,470567,Cognitive,68.8,West
2020,WV,West Virginia,184347,Cognitive,69,South
2020,WI,Wisconsin,370118,Cognitive,66.7,Midwest
2020,WY,Wyoming,26076,Cognitive,70.4,West
